score_decile,sessions,mean_score,lead_rate,leads,appointment_rate_per_session,appointments,lift_vs_base_lead_rate
1,2000,0.2586319947013024,0.259,518,0.05,100,5.899772209567198
2,2000,0.08178355620240313,0.0855,171,0.02,40,1.947608200455581
3,2000,0.04004909906213198,0.041,82,0.0155,31,0.9339407744874715
4,2000,0.02284834666362691,0.0215,43,0.0065,13,0.48974943052391795
5,2000,0.014408657482840453,0.0135,27,0.0075,15,0.3075170842824601
6,2000,0.009206352718762308,0.01,20,0.0055,11,0.22779043280182232
7,2000,0.005771947050750236,0.004,8,0.001,2,0.09111617312072892
8,2000,0.0034312975429208466,0.003,6,0.0015,3,0.0683371298405467
9,2000,0.0018320643134956697,0.0015,3,0.0005,1,0.03416856492027335
10,2000,0.0006917956612066432,0.0,0,0.0,0,0.0
